path,valence
../mel_spectrograms\spectrogram_247.npy,4.0
../mel_spectrograms\spectrogram_248.npy,3.75
../mel_spectrograms\spectrogram_249.npy,3.75
../mel_spectrograms\spectrogram_250.npy,3.0
../mel_spectrograms\spectrogram_251.npy,3.75
../mel_spectrograms\spectrogram_252.npy,2.0
../mel_spectrograms\spectrogram_253.npy,3.25
../mel_spectrograms\spectrogram_254.npy,3.25
../mel_spectrograms\spectrogram_255.npy,3.25
../mel_spectrograms\spectrogram_256.npy,3.0
../mel_spectrograms\spectrogram_257.npy,4.0
../mel_spectrograms\spectrogram_258.npy,1.75
../mel_spectrograms\spectrogram_259.npy,3.75
../mel_spectrograms\spectrogram_260.npy,1.0
../mel_spectrograms\spectrogram_261.npy,3.0
../mel_spectrograms\spectrogram_262.npy,3.0
../mel_spectrograms\spectrogram_263.npy,2.5
../mel_spectrograms\spectrogram_264.npy,4.0
../mel_spectrograms\spectrogram_265.npy,3.25
../mel_spectrograms\spectrogram_266.npy,2.75
../mel_spectrograms\spectrogram_267.npy,2.75
../mel_spectrograms\spectrogram_268.npy,2.75
../mel_spectrograms\spectrogram_269.npy,1.0
../mel_spectrograms\spectrogram_270.npy,2.0
../mel_spectrograms\spectrogram_271.npy,1.25
../mel_spectrograms\spectrogram_272.npy,3.25
../mel_spectrograms\spectrogram_273.npy,1.25
../mel_spectrograms\spectrogram_274.npy,2.75
../mel_spectrograms\spectrogram_275.npy,4.0
../mel_spectrograms\spectrogram_276.npy,3.5
../mel_spectrograms\spectrogram_277.npy,3.75
../mel_spectrograms\spectrogram_278.npy,1.75
../mel_spectrograms\spectrogram_279.npy,4.25
../mel_spectrograms\spectrogram_280.npy,3.25
../mel_spectrograms\spectrogram_281.npy,4.0
../mel_spectrograms\spectrogram_282.npy,2.75
../mel_spectrograms\spectrogram_283.npy,4.5
../mel_spectrograms\spectrogram_284.npy,3.5
../mel_spectrograms\spectrogram_285.npy,4.75
../mel_spectrograms\spectrogram_286.npy,3.25
../mel_spectrograms\spectrogram_287.npy,1.5
../mel_spectrograms\spectrogram_288.npy,4.25
../mel_spectrograms\spectrogram_289.npy,3.0
../mel_spectrograms\spectrogram_290.npy,4.0
../mel_spectrograms\spectrogram_291.npy,2.75
../mel_spectrograms\spectrogram_292.npy,3.5
../mel_spectrograms\spectrogram_293.npy,2.5
../mel_spectrograms\spectrogram_294.npy,1.5
../mel_spectrograms\spectrogram_295.npy,4.0
../mel_spectrograms\spectrogram_296.npy,2.0
../mel_spectrograms\spectrogram_297.npy,3.75
../mel_spectrograms\spectrogram_298.npy,2.0
../mel_spectrograms\spectrogram_299.npy,2.25
../mel_spectrograms\spectrogram_300.npy,2.0
../mel_spectrograms\spectrogram_301.npy,3.25
../mel_spectrograms\spectrogram_302.npy,2.5
../mel_spectrograms\spectrogram_303.npy,1.5
../mel_spectrograms\spectrogram_304.npy,4.5
../mel_spectrograms\spectrogram_305.npy,2.5
../mel_spectrograms\spectrogram_306.npy,3.0
../mel_spectrograms\spectrogram_307.npy,2.0
../mel_spectrograms\spectrogram_308.npy,1.25
../mel_spectrograms\spectrogram_309.npy,1.0
../mel_spectrograms\spectrogram_310.npy,4.0
../mel_spectrograms\spectrogram_311.npy,3.0
../mel_spectrograms\spectrogram_312.npy,4.0
../mel_spectrograms\spectrogram_313.npy,2.75
../mel_spectrograms\spectrogram_314.npy,3.75
../mel_spectrograms\spectrogram_315.npy,3.25
../mel_spectrograms\spectrogram_316.npy,4.25
../mel_spectrograms\spectrogram_317.npy,3.0
../mel_spectrograms\spectrogram_318.npy,3.0
../mel_spectrograms\spectrogram_319.npy,2.5
../mel_spectrograms\spectrogram_320.npy,4.5
../mel_spectrograms\spectrogram_321.npy,3.0
../mel_spectrograms\spectrogram_322.npy,1.5
../mel_spectrograms\spectrogram_323.npy,3.0
../mel_spectrograms\spectrogram_324.npy,2.0
../mel_spectrograms\spectrogram_325.npy,2.75
../mel_spectrograms\spectrogram_326.npy,4.0
../mel_spectrograms\spectrogram_327.npy,2.0
../mel_spectrograms\spectrogram_328.npy,2.0
../mel_spectrograms\spectrogram_329.npy,4.25
../mel_spectrograms\spectrogram_330.npy,3.0
../mel_spectrograms\spectrogram_331.npy,3.25
../mel_spectrograms\spectrogram_332.npy,3.25
../mel_spectrograms\spectrogram_333.npy,4.0
../mel_spectrograms\spectrogram_334.npy,1.5
../mel_spectrograms\spectrogram_335.npy,3.25
../mel_spectrograms\spectrogram_336.npy,4.0
../mel_spectrograms\spectrogram_337.npy,3.25
../mel_spectrograms\spectrogram_338.npy,4.0
../mel_spectrograms\spectrogram_339.npy,3.5
../mel_spectrograms\spectrogram_340.npy,3.0
../mel_spectrograms\spectrogram_341.npy,3.0
../mel_spectrograms\spectrogram_342.npy,3.5
../mel_spectrograms\spectrogram_343.npy,2.25
../mel_spectrograms\spectrogram_344.npy,4.0
../mel_spectrograms\spectrogram_345.npy,3.5
../mel_spectrograms\spectrogram_346.npy,4.5
../mel_spectrograms\spectrogram_347.npy,4.25
../mel_spectrograms\spectrogram_348.npy,2.25
../mel_spectrograms\spectrogram_349.npy,3.25
../mel_spectrograms\spectrogram_350.npy,3.0
../mel_spectrograms\spectrogram_351.npy,1.5
../mel_spectrograms\spectrogram_352.npy,3.0
../mel_spectrograms\spectrogram_353.npy,3.0
../mel_spectrograms\spectrogram_354.npy,3.75
../mel_spectrograms\spectrogram_355.npy,2.75
../mel_spectrograms\spectrogram_356.npy,1.75
../mel_spectrograms\spectrogram_357.npy,4.75
../mel_spectrograms\spectrogram_358.npy,2.75
../mel_spectrograms\spectrogram_359.npy,2.5
../mel_spectrograms\spectrogram_360.npy,2.5
../mel_spectrograms\spectrogram_361.npy,2.75
../mel_spectrograms\spectrogram_362.npy,2.5
../mel_spectrograms\spectrogram_363.npy,4.0
../mel_spectrograms\spectrogram_364.npy,3.75
../mel_spectrograms\spectrogram_365.npy,3.25
../mel_spectrograms\spectrogram_366.npy,4.75
../mel_spectrograms\spectrogram_367.npy,3.75
../mel_spectrograms\spectrogram_368.npy,3.5
../mel_spectrograms\spectrogram_369.npy,1.75
../mel_spectrograms\spectrogram_370.npy,2.0
../mel_spectrograms\spectrogram_371.npy,1.75
../mel_spectrograms\spectrogram_372.npy,1.25
../mel_spectrograms\spectrogram_373.npy,1.5
../mel_spectrograms\spectrogram_374.npy,2.5
../mel_spectrograms\spectrogram_375.npy,2.5
../mel_spectrograms\spectrogram_376.npy,1.0
../mel_spectrograms\spectrogram_377.npy,3.0
../mel_spectrograms\spectrogram_378.npy,2.75
../mel_spectrograms\spectrogram_379.npy,4.5
../mel_spectrograms\spectrogram_380.npy,3.75
../mel_spectrograms\spectrogram_381.npy,3.5
../mel_spectrograms\spectrogram_382.npy,4.0
../mel_spectrograms\spectrogram_383.npy,4.25
../mel_spectrograms\spectrogram_384.npy,2.5
../mel_spectrograms\spectrogram_385.npy,4.5
../mel_spectrograms\spectrogram_386.npy,4.0
../mel_spectrograms\spectrogram_387.npy,1.0
../mel_spectrograms\spectrogram_388.npy,4.25
../mel_spectrograms\spectrogram_389.npy,1.0
../mel_spectrograms\spectrogram_390.npy,3.5
../mel_spectrograms\spectrogram_391.npy,3.25
../mel_spectrograms\spectrogram_392.npy,2.25
../mel_spectrograms\spectrogram_393.npy,1.75
../mel_spectrograms\spectrogram_394.npy,1.75
../mel_spectrograms\spectrogram_395.npy,3.25
../mel_spectrograms\spectrogram_396.npy,3.75
../mel_spectrograms\spectrogram_397.npy,4.5
../mel_spectrograms\spectrogram_398.npy,2.75
../mel_spectrograms\spectrogram_399.npy,3.5
../mel_spectrograms\spectrogram_400.npy,3.75
../mel_spectrograms\spectrogram_401.npy,3.75
../mel_spectrograms\spectrogram_402.npy,3.75
../mel_spectrograms\spectrogram_403.npy,4.5
../mel_spectrograms\spectrogram_404.npy,3.75
../mel_spectrograms\spectrogram_405.npy,3.25
../mel_spectrograms\spectrogram_406.npy,2.5
../mel_spectrograms\spectrogram_407.npy,1.5
../mel_spectrograms\spectrogram_408.npy,1.75
../mel_spectrograms\spectrogram_409.npy,2.5
../mel_spectrograms\spectrogram_410.npy,4.0
../mel_spectrograms\spectrogram_411.npy,3.75
../mel_spectrograms\spectrogram_412.npy,2.25
../mel_spectrograms\spectrogram_413.npy,1.75
../mel_spectrograms\spectrogram_414.npy,2.0
../mel_spectrograms\spectrogram_415.npy,1.75
../mel_spectrograms\spectrogram_416.npy,3.75
../mel_spectrograms\spectrogram_417.npy,3.5
../mel_spectrograms\spectrogram_418.npy,4.0
../mel_spectrograms\spectrogram_419.npy,2.0
../mel_spectrograms\spectrogram_420.npy,4.5
../mel_spectrograms\spectrogram_421.npy,4.5
../mel_spectrograms\spectrogram_422.npy,4.0
../mel_spectrograms\spectrogram_423.npy,3.25
../mel_spectrograms\spectrogram_424.npy,3.5
../mel_spectrograms\spectrogram_425.npy,2.5
../mel_spectrograms\spectrogram_426.npy,2.0
../mel_spectrograms\spectrogram_427.npy,3.0
../mel_spectrograms\spectrogram_428.npy,2.5
../mel_spectrograms\spectrogram_429.npy,3.75
../mel_spectrograms\spectrogram_430.npy,3.25
../mel_spectrograms\spectrogram_431.npy,3.5
../mel_spectrograms\spectrogram_432.npy,3.25
../mel_spectrograms\spectrogram_433.npy,3.0
../mel_spectrograms\spectrogram_434.npy,3.5
../mel_spectrograms\spectrogram_435.npy,4.25
../mel_spectrograms\spectrogram_436.npy,3.5
../mel_spectrograms\spectrogram_437.npy,3.5
../mel_spectrograms\spectrogram_438.npy,3.5
../mel_spectrograms\spectrogram_439.npy,2.25
../mel_spectrograms\spectrogram_440.npy,4.0
../mel_spectrograms\spectrogram_441.npy,3.5
../mel_spectrograms\spectrogram_442.npy,4.0
../mel_spectrograms\spectrogram_443.npy,2.0
../mel_spectrograms\spectrogram_444.npy,1.75
../mel_spectrograms\spectrogram_445.npy,3.0
../mel_spectrograms\spectrogram_446.npy,4.0
../mel_spectrograms\spectrogram_447.npy,3.0
../mel_spectrograms\spectrogram_448.npy,3.25
../mel_spectrograms\spectrogram_449.npy,3.25
../mel_spectrograms\spectrogram_450.npy,3.5
../mel_spectrograms\spectrogram_451.npy,4.5
../mel_spectrograms\spectrogram_452.npy,3.0
../mel_spectrograms\spectrogram_453.npy,4.0
../mel_spectrograms\spectrogram_454.npy,3.25
../mel_spectrograms\spectrogram_455.npy,4.25
../mel_spectrograms\spectrogram_456.npy,1.75
../mel_spectrograms\spectrogram_457.npy,2.0
../mel_spectrograms\spectrogram_458.npy,2.0
../mel_spectrograms\spectrogram_459.npy,2.0
../mel_spectrograms\spectrogram_460.npy,3.5
../mel_spectrograms\spectrogram_461.npy,1.75
../mel_spectrograms\spectrogram_462.npy,3.25
../mel_spectrograms\spectrogram_463.npy,3.5
../mel_spectrograms\spectrogram_464.npy,4.0
../mel_spectrograms\spectrogram_465.npy,3.75
../mel_spectrograms\spectrogram_466.npy,3.0
../mel_spectrograms\spectrogram_467.npy,2.75
../mel_spectrograms\spectrogram_468.npy,3.0
../mel_spectrograms\spectrogram_469.npy,3.0
../mel_spectrograms\spectrogram_470.npy,3.75
../mel_spectrograms\spectrogram_471.npy,3.0
../mel_spectrograms\spectrogram_472.npy,3.5
../mel_spectrograms\spectrogram_473.npy,3.0
../mel_spectrograms\spectrogram_474.npy,1.0
../mel_spectrograms\spectrogram_475.npy,1.5
../mel_spectrograms\spectrogram_476.npy,3.25
../mel_spectrograms\spectrogram_477.npy,2.75
../mel_spectrograms\spectrogram_478.npy,3.5
../mel_spectrograms\spectrogram_479.npy,3.5
../mel_spectrograms\spectrogram_480.npy,3.25
../mel_spectrograms\spectrogram_481.npy,4.75
../mel_spectrograms\spectrogram_482.npy,3.5
../mel_spectrograms\spectrogram_483.npy,4.25
../mel_spectrograms\spectrogram_484.npy,4.5
../mel_spectrograms\spectrogram_485.npy,2.75
../mel_spectrograms\spectrogram_486.npy,4.0
../mel_spectrograms\spectrogram_487.npy,1.5
../mel_spectrograms\spectrogram_488.npy,3.75
../mel_spectrograms\spectrogram_489.npy,3.5
../mel_spectrograms\spectrogram_490.npy,4.0
../mel_spectrograms\spectrogram_491.npy,2.75
../mel_spectrograms\spectrogram_492.npy,4.0
../mel_spectrograms\spectrogram_493.npy,1.0
../mel_spectrograms\spectrogram_494.npy,2.0
../mel_spectrograms\spectrogram_495.npy,2.5
../mel_spectrograms\spectrogram_496.npy,2.75
../mel_spectrograms\spectrogram_497.npy,3.75
../mel_spectrograms\spectrogram_498.npy,3.25
../mel_spectrograms\spectrogram_499.npy,3.75
../mel_spectrograms\spectrogram_500.npy,4.25
../mel_spectrograms\spectrogram_501.npy,2.75
../mel_spectrograms\spectrogram_502.npy,3.75
../mel_spectrograms\spectrogram_503.npy,1.5
../mel_spectrograms\spectrogram_504.npy,2.75
../mel_spectrograms\spectrogram_505.npy,4.0
../mel_spectrograms\spectrogram_506.npy,3.25
../mel_spectrograms\spectrogram_507.npy,3.0
../mel_spectrograms\spectrogram_508.npy,4.25
../mel_spectrograms\spectrogram_509.npy,4.5
../mel_spectrograms\spectrogram_510.npy,4.0
../mel_spectrograms\spectrogram_511.npy,3.25
../mel_spectrograms\spectrogram_512.npy,3.5
../mel_spectrograms\spectrogram_513.npy,2.75
../mel_spectrograms\spectrogram_514.npy,1.25
../mel_spectrograms\spectrogram_515.npy,2.5
../mel_spectrograms\spectrogram_516.npy,3.75
../mel_spectrograms\spectrogram_517.npy,1.25
../mel_spectrograms\spectrogram_518.npy,2.25
../mel_spectrograms\spectrogram_519.npy,3.75
../mel_spectrograms\spectrogram_520.npy,2.0
../mel_spectrograms\spectrogram_521.npy,4.25
../mel_spectrograms\spectrogram_522.npy,4.0
../mel_spectrograms\spectrogram_523.npy,4.25
../mel_spectrograms\spectrogram_524.npy,2.5
../mel_spectrograms\spectrogram_525.npy,2.75
../mel_spectrograms\spectrogram_526.npy,2.5
../mel_spectrograms\spectrogram_527.npy,3.5
../mel_spectrograms\spectrogram_528.npy,3.0
../mel_spectrograms\spectrogram_529.npy,4.25
../mel_spectrograms\spectrogram_530.npy,3.75
../mel_spectrograms\spectrogram_531.npy,2.25
../mel_spectrograms\spectrogram_532.npy,3.25
../mel_spectrograms\spectrogram_533.npy,1.75
../mel_spectrograms\spectrogram_534.npy,3.25
../mel_spectrograms\spectrogram_535.npy,1.5
../mel_spectrograms\spectrogram_536.npy,1.25
../mel_spectrograms\spectrogram_537.npy,4.5
../mel_spectrograms\spectrogram_538.npy,3.0
../mel_spectrograms\spectrogram_539.npy,4.0
../mel_spectrograms\spectrogram_540.npy,3.25
../mel_spectrograms\spectrogram_541.npy,3.75
../mel_spectrograms\spectrogram_542.npy,3.25
../mel_spectrograms\spectrogram_543.npy,3.75
../mel_spectrograms\spectrogram_544.npy,3.5
../mel_spectrograms\spectrogram_545.npy,3.5
../mel_spectrograms\spectrogram_546.npy,4.5
../mel_spectrograms\spectrogram_547.npy,3.5
../mel_spectrograms\spectrogram_548.npy,3.0
../mel_spectrograms\spectrogram_549.npy,4.0
../mel_spectrograms\spectrogram_550.npy,3.0
../mel_spectrograms\spectrogram_551.npy,2.75
../mel_spectrograms\spectrogram_552.npy,3.25
../mel_spectrograms\spectrogram_553.npy,3.5
../mel_spectrograms\spectrogram_554.npy,2.5
../mel_spectrograms\spectrogram_555.npy,2.75
../mel_spectrograms\spectrogram_556.npy,2.0
../mel_spectrograms\spectrogram_557.npy,4.75
../mel_spectrograms\spectrogram_558.npy,4.0
